Number, Time, CPU, RAM 
1, 2022-08-28 00:36:25.900879, 36.5, 58.5 
2, 2022-08-28 00:36:27.904585, 11.4, 58.5 
3, 2022-08-28 00:36:29.907465, 6.2, 58.3 
4, 2022-08-28 00:36:31.908109, 6.3, 58.4 
5, 2022-08-28 00:36:33.911235, 8.5, 58.4 
6, 2022-08-28 00:36:35.916161, 6.9, 58.4 
7, 2022-08-28 00:36:37.918702, 8.1, 58.5 
8, 2022-08-28 00:36:39.922907, 10.5, 58.5 
9, 2022-08-28 00:36:41.925278, 7.0, 58.5 
10, 2022-08-28 00:36:43.929575, 6.4, 58.5 
11, 2022-08-28 00:36:45.933140, 7.0, 58.5 
12, 2022-08-28 00:36:47.936540, 7.6, 58.5 
13, 2022-08-28 00:36:49.940682, 5.4, 58.5 
14, 2022-08-28 00:36:51.945110, 13.9, 58.9 
15, 2022-08-28 00:36:53.948167, 19.7, 58.7 
16, 2022-08-28 00:36:55.953334, 10.7, 58.7 
17, 2022-08-28 00:36:57.955560, 13.1, 58.7 
18, 2022-08-28 00:36:59.957734, 10.7, 58.7 
19, 2022-08-28 00:37:01.958877, 7.7, 58.7 
20, 2022-08-28 00:37:03.962326, 6.6, 58.7 
21, 2022-08-28 00:37:05.967005, 6.2, 58.6 
22, 2022-08-28 00:37:07.971004, 6.3, 58.6 
23, 2022-08-28 00:37:09.972661, 4.8, 58.6 
24, 2022-08-28 00:37:11.973191, 6.0, 58.9 
25, 2022-08-28 00:37:13.975090, 6.1, 58.7 
26, 2022-08-28 00:37:15.980074, 4.9, 58.7 
27, 2022-08-28 00:37:17.980422, 6.4, 58.6 
28, 2022-08-28 00:37:19.985693, 5.3, 58.6 
29, 2022-08-28 00:37:21.989722, 4.9, 58.6 
30, 2022-08-28 00:37:23.994025, 6.5, 58.6 
31, 2022-08-28 00:37:25.998572, 7.1, 58.6 
32, 2022-08-28 00:37:28.002693, 5.8, 58.6 
33, 2022-08-28 00:37:30.007514, 5.1, 58.6 
34, 2022-08-28 00:37:32.010557, 13.0, 58.7 
35, 2022-08-28 00:37:34.014526, 13.3, 58.6 
